,sum,mean,std
Beast Reacts,830580.0,16611.6,9547.534155423566
Billie Eilish,1323123.0,26462.46,40868.9484113975
Marques Brownlee,983194.0,19663.88,9506.197876487675
Movieclips,351983.0,6768.903846153846,11341.659051893457
MrBeast,6521231.0,130424.62,85057.16525070244
MrBeast 2,1229613.0,24592.26,47961.33020648946
MrBeast Gaming,4240942.0,84818.84,263521.553047615
PewDiePie,7425460.0,148509.2,226755.02437436848
Taylor Swift,416881.0,8337.62,7385.887872759754
xQc,98189.0,1722.6140350877192,1209.926794633017
